Year,Month,Day,Time(hhmmss.mm)UTC,Latitude,Longitude,Magnitude,Depth
 1973,01,05,053105.80, 33.47, 140.87,4.5, 56
 1973,01,05,114837.50, 33.16, 140.91,3.9, 33
 1973,01,06,102116.30, 33.49, 140.85,4.2, 33
 1973,01,06,112154.70, 33.27, 140.93,4.5, 46
 1973,01,06,145552.80, 33.15, 140.71,4.7, 61
 1973,01,09,022114.80, 37.81, 141.69,3.5, 59
 1973,01,10,075113.60, 33.62, 140.51,4.1,103
 1973,01,10,135240.60, 36.84, 137.36,4.4, 33
 1973,01,12,074443.90, 33.11, 140.98,3.9, 20
 1973,01,13,002147.50, 33.28, 141.06,3.9, 40
 1973,01,13,231451.10, 33.33, 141.05,3.8, 33
 1973,01,15,131515.80, 36.93, 141.93,4.1, 43
 1973,01,15,170405.80, 33.37, 140.82,4.9, 58
 1973,01,16,181727.80, 35.96, 139.49,4.1, 60
 1973,01,16,201134.10, 37.80, 141.71,4.1, 58
 1973,01,17,030734.50, 33.28, 140.61,4.0, 58
 1973,01,17,042139   , 32.92, 138.14,4.0, 48
 1973,01,19,140115   , 33.14, 140.69,4.7, 60
 1973,01,20,060451   , 34.88, 140.79,4.8, 47
 1973,01,20,100331.90, 34.97, 140.71,4.5, 56
 1973,01,20,101351.30, 34.95, 140.84,5.0, 43
 1973,01,20,130645.80, 34.97, 140.91,4.6, 25
 1973,01,20,162959.10, 34.88, 140.95,5.0, 20
 1973,01,20,165519.80, 34.87, 140.88,4.9, 33
 1973,01,21,062956.40, 33.62, 140.43,3.9, 69
 1973,01,21,081618.80, 36.10, 139.77,5.0, 61
 1973,01,21,093900.80, 37.24, 141.08,4.1, 38
 1973,01,21,133653.40, 35.92, 137.68,3.8,238
 1973,01,21,153550.70, 33.06, 140.84,4.1, 49
 1973,01,22,165422.10, 33.23, 140.78,4.2, 38
 1973,01,22,171355.70, 33.31, 139.96,4.0, 91
 1973,01,24,015444.10, 38.96, 141.18,3.8, 90
 1973,01,24,090150.50, 43.35, 140.43,4.0,191
 1973,01,24,102414.40, 37.39, 142.06,4.1, 57
 1973,01,25,113141.90, 33.32, 140.67,4.2, 76
 1973,01,27,043844.30, 34.99, 140.85,4.3, 44
 1973,01,27,115855   , 33.21, 140.86,3.9, 46
 1973,01,27,211910.80, 35.07, 140.90,3.8, 42
 1973,01,28,170146.30, 41.85, 141.11,5.1, 93
 1973,01,29,082641.90, 33.15, 141.10,4.3, 23
 1973,01,30,153823.30, 33.19, 140.69,4.1, 33
 1973,02,02,012521.80, 38.72, 142.38,4.1, 38
 1973,02,03,003547   , 36.86, 141.01,4.2, 52
 1973,02,03,094555.20, 35.17, 140.95,4.3, 31
 1973,02,03,094856.10, 34.32, 140.42,4.1, 42
 1973,02,04,130116.60, 35.00, 141.33,4.6, 33
 1973,02,05,065940.90, 33.21, 141.05,4.5, 28
 1973,02,05,084420.40, 33.25, 141.23,3.6, 33
 1973,02,05,161919.20, 33.34, 141.83,4.3, 32
 1973,02,05,194916.40, 35.04, 140.93,4.3, 43
 1973,02,05,201707.70, 35.28, 141.02,3.9, 22
 1973,02,05,201940.70, 33.15, 142.33,4.2, 55
 1973,02,05,203104.90, 35.10, 140.83,4.2, 49
 1973,02,05,205334.90, 35.17, 141.05,4.0, 20
 1973,02,05,215459.30, 34.86, 140.91,4.1, 34
 1973,02,07,060015.30, 33.22, 140.64,4.0, 47
 1973,02,09,034224.60, 31.40, 141.83,4.3, 33
 1973,02,09,070219.80, 37.85, 134.35,4.3,388
 1973,02,10,051217.70, 33.20, 140.65,5.3, 62
 1973,02,10,105651.10, 33.11, 142.29,4.1, 59
 1973,02,13,135616   , 35.70, 140.13,3.9, 68
 1973,02,14,214542.40, 39.03, 141.47,5.1,110
 1973,02,14,223614.60, 37.04, 141.51,5.1, 56
 1973,02,15,020407.80, 41.95, 142.32,3.9, 69
 1973,02,15,102808.10, 33.16, 140.44,4.3, 55
 1973,02,15,205809.40, 37.80, 139.79,4.3,135
 1973,02,20,092732.10, 36.42, 139.50,3.8,129
 1973,02,20,141237.80, 32.43, 137.42,4.4,401
 1973,02,22,072628.90, 40.56, 143.36,4.0, 33
 1973,02,22,185105.80, 44.89, 141.10,4.5,245
 1973,02,22,202009.80, 43.49, 138.94,4.0,233
 1973,02,23,204753.50, 34.14, 135.82,3.8,418
 1973,02,24,215235.10, 33.36, 140.50,4.8, 36
 1973,02,25,100944.80, 34.73, 132.34,4.2, 19
 1973,02,26,123633.70, 33.26, 140.46,4.4, 60
 1973,02,26,133811.40, 33.66, 132.29,4.0, 54
 1973,02,26,143736.20, 33.13, 140.68,4.1, 39
 1973,02,26,224537.70, 42.32, 133.91,4.1,423
 1973,02,27,042501.60, 34.45, 141.48,4.2, 60
 1973,02,27,055626.90, 33.35, 140.96,4.1, 48
 1973,03,01,151007.70, 33.16, 140.67,4.2, 60
 1973,03,02,193222.30, 35.10, 140.81,4.0, 53
 1973,03,03,193601.70, 37.69, 137.56,4.1,211
 1973,03,05,074251   , 41.89, 142.35,4.1, 71
 1973,03,06,230623.80, 34.62, 141.48,4.4, 63
 1973,03,07,154456.40, 34.59, 141.36,4.1, 68
 1973,03,11,133747.30, 41.59, 142.01,5.5, 73
 1973,03,16,215001.10, 37.04, 141.57,5.1, 40
 1973,03,18,033318.20, 35.29, 139.15,4.0, 26
 1973,03,19,170308.40, 36.67, 140.97,4.6, 60
 1973,03,21,052334   , 33.44, 140.95,3.9, 48
